expName,curec_ID,session_nr,date,start_time,end_time,duration,participant,age,gender,trial_count,coherence,coherence_level,distance,distance_level,direction,reference,signal_delay,correct_response,participant_response,correct,correct_response_colour,participant_response_colour,response_time,confidence_start_position,confidence_rating,confidence_response_time,confidence_adjustments
confidence-pgACC-TUS,R88533/RE002,1,2025-01-22_10h32.52.919,2025-01-22 10:32:55,None,None,999,,,1,0.7,high,30,low,217.0,247.0,0.7242437110629554,CW,CCW,False,blue,orange,9.065017600078136,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-22_10h32.52.919,2025-01-22 10:32:55,None,None,999,,,2,0.7,high,50,high,238.0,288.0,0.4734203204923371,CW,CW,True,blue,blue,14.264895800035447,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-22_10h32.52.919,2025-01-22 10:32:55,None,None,999,,,3,0.5,low,30,low,136.0,166.0,0.4492514592035026,CW,CW,True,orange,orange,20.333607400069013,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-22_10h32.52.919,2025-01-22 10:32:55,None,None,999,,,4,0.7,high,30,low,213.0,243.0,0.6342424420517034,CW,CCW,False,blue,orange,37.175865600002,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-22_10h32.52.919,2025-01-22 10:32:55,None,None,999,,,5,0.7,high,30,low,109.0,79.0,0.5585799919389337,CCW,CW,False,blue,orange,42.528876200085506,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-22_10h32.52.919,2025-01-22 10:32:55,None,None,999,,,6,0.5,low,50,high,92.0,142.0,0.4232442887219009,CW,CCW,False,orange,blue,47.80986290005967,None,None,None,None
