expName,curec_ID,session_nr,date,start_time,end_time,duration,participant,age,gender,trial_count,coherence,coherence_level,distance,distance_level,direction,reference,signal_delay,correct_response,participant_response,correct,correct_response_colour,participant_response_colour,response_time,confidence_start_position,confidence_rating,confidence_response_time
confidence-pgACC-TUS,R88533/RE002,1,2025-01-22_10h10.44.097,2025-01-22 10:10:47,None,None,999,,,1,0.7,high,30,low,55.0,25.0,0.5347048420525935,CCW,CW,False,blue,orange,18.01557419996243,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-22_10h10.44.097,2025-01-22 10:10:47,None,None,999,,,2,0.5,low,30,low,39.0,9.0,0.5225650021798006,CCW,CCW,True,blue,blue,23.074282699963078,None,None,None
