expName,curec_ID,session_nr,date,start_time,end_time,duration,participant,age,gender,trial_count,coherence,coherence_level,distance,distance_level,direction,reference,signal_delay,correct_response,participant_response,correct,correct_response_colour,participant_response_colour,response_time,confidence_start_position,confidence_rating,confidence_response_time,confidence_adjustments
confidence-pgACC-TUS,R88533/RE002,1,2025-01-22_10h39.35.011,2025-01-22 10:39:38,None,None,999,,,1,0.5,low,50,high,308.0,258.0,0.742984390162398,CCW,CCW,True,orange,orange,9.526765399961732,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-22_10h39.35.011,2025-01-22 10:39:38,None,None,999,,,2,0.7,high,50,high,133.0,183.0,0.5662281446387724,CW,CW,True,blue,blue,14.890923099941574,None,None,None,None
