expName,curec_ID,session_nr,date,start_time,end_time,participant,age,gender,trial_count,coherence,distance,direction,reference_direction,response,response_time
confidence-pgACC-TUS,R88533/RE002,0,2024-09-05_13h31.02.694,2024-09-05 13:31:06,None,999,,,1,0.5,30,152.43,CW,CW,20.676393200061284
confidence-pgACC-TUS,R88533/RE002,0,2024-09-05_13h31.02.694,2024-09-05 13:31:06,None,999,,,2,0.5,30,253.87,CW,CCW,25.43753460003063
