expName,curec_ID,session_nr,date,start_time,end_time,participant,age,gender,trial_count,coherence,distance,direction,reference_direction,response,response_time,confidence_rating,confidence_response_time
confidence-pgACC-TUS,R88533/RE002,1,2025-01-08_10h41.28.502,2025-01-08 10:41:33,None,999,,,1,0.4,30,11.0,CCW,CCW,11.752543800001149,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-08_10h41.28.502,2025-01-08 10:41:33,None,999,,,2,0.2,10,86.0,CCW,CW,18.354257999992114,70,8.503518104553223
confidence-pgACC-TUS,R88533/RE002,1,2025-01-08_10h41.28.502,2025-01-08 10:41:33,None,999,,,3,0.4,10,237.0,CCW,CCW,34.15707220000331,60,1.0215814113616943
confidence-pgACC-TUS,R88533/RE002,1,2025-01-08_10h41.28.502,2025-01-08 10:41:33,None,999,,,4,0.4,10,129.0,CW,CW,41.82960209999874,100,2.095081329345703
confidence-pgACC-TUS,R88533/RE002,1,2025-01-08_10h41.28.502,2025-01-08 10:41:33,None,999,,,5,0.4,10,46.0,CCW,CW,51.20277829999395,None,None
