expName,curec_ID,session_nr,date,start_time,end_time,participant,age,gender,trial_count,coherence,distance,direction,reference_direction,response,response_time,confidence_rating,confidence_response_time,bonus
confidence-pgACC-TUS,R88533/RE002,1,2024-08-30_10h23.46.702,2024-08-30 10:23:49,None,999,,,1,0.2,10,177.71,CCW,CCW,10.300415200006682,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2024-08-30_10h23.46.702,2024-08-30 10:23:49,None,999,,,2,0.4,10,259.72,CCW,CCW,15.164941199996974,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2024-08-30_10h23.46.702,2024-08-30 10:23:49,2024-08-30 10:23:49,999,,,3,0.2,10,190.45,CW,CW,19.029527299979236,None,None,0.30000000000000004
