expName,curec_ID,session_nr,date,start_time,end_time,duration,participant,age,gender,trial_count,coherence,coherence_level,distance,distance_level,direction,reference,signal_delay,correct_response,participant_response,correct,correct_response_colour,participant_response_colour,response_time,confidence_rating,confidence_response_time,bonus_payment,n_blocks,n_trials_per_block,medium_coherence,medium_distance,coherence_step,distance_step
confidence-pgACC-TUS,R88533/RE002,1,2025-01-09_14h35.41.613,2025-01-09 14:35:46,None,None,999,,,22,0.3,medium,20,medium,34.0,54.0,0.6889157908259071,CW,CCW,False,orange,blue,111.37793349998537,None,None,None,8,30,0.31,20,0.01,1
confidence-pgACC-TUS,R88533/RE002,1,2025-01-09_14h35.41.613,2025-01-09 14:35:46,None,None,999,,,23,0.31,medium,20,medium,20.0,0.0,0.5209500877339873,CCW,CCW,True,blue,blue,116.75857399997767,None,None,None,8,30,0.31,20,0.01,1
confidence-pgACC-TUS,R88533/RE002,1,2025-01-09_14h35.41.613,2025-01-09 14:35:46,None,None,999,,,24,0.31,medium,20,medium,28.0,8.0,0.5789172341379727,CCW,CCW,True,blue,blue,121.29543629998807,None,None,None,8,30,0.3,20,0.01,1
confidence-pgACC-TUS,R88533/RE002,1,2025-01-09_14h35.41.613,2025-01-09 14:35:46,None,None,999,,,25,0.3,medium,20,medium,216.0,236.0,0.6511202286414781,CW,CW,True,blue,blue,125.90448429997195,None,None,None,8,30,0.3,20,0.01,1
confidence-pgACC-TUS,R88533/RE002,1,2025-01-09_14h35.41.613,2025-01-09 14:35:46,None,None,999,,,26,0.3,medium,20,medium,92.0,112.0,0.6404212807489864,CW,CCW,False,orange,blue,131.00939189997735,None,None,None,8,30,0.31,20,0.01,1
confidence-pgACC-TUS,R88533/RE002,1,2025-01-09_14h35.41.613,2025-01-09 14:35:46,None,None,999,,,27,0.31,medium,20,medium,275.0,255.0,0.3208637110571994,CCW,CCW,True,orange,orange,135.2099809999927,None,None,None,8,30,0.31,20,0.01,1
confidence-pgACC-TUS,R88533/RE002,1,2025-01-09_14h35.41.613,2025-01-09 14:35:46,None,None,999,,,28,0.31,medium,20,medium,347.0,7.0,0.31421661640452425,CW,CW,True,orange,orange,140.02359809997142,None,None,None,8,30,0.3,20,0.01,1
confidence-pgACC-TUS,R88533/RE002,1,2025-01-09_14h35.41.613,2025-01-09 14:35:46,None,None,999,,,29,0.3,medium,20,medium,131.0,111.0,0.7053785959690007,CCW,CCW,True,blue,blue,144.6486930999963,None,None,None,8,30,0.3,20,0.01,1
confidence-pgACC-TUS,R88533/RE002,1,2025-01-09_14h35.41.613,2025-01-09 14:35:46,None,None,999,,,30,0.3,medium,20,medium,192.0,212.0,0.30359264818354437,CW,CCW,False,blue,orange,149.1184598999971,None,None,None,8,30,0.31,20,0.01,1
confidence-pgACC-TUS,R88533/RE002,1,2025-01-09_14h35.41.613,2025-01-09 14:35:46,None,None,999,,,31,0.155,low,40.0,high,101.0,141.0,0.3732992270534415,CW,CCW,False,orange,blue,154.26424819999374,None,None,None,8,30,0.31,21,0.01,1
